,owner,company,address,type,capacity_MW,approval_date,prep_time,note
736,김철민,서대구에너지,대구시  서구  와룡로87길  92(이현동),열병합발전(증기터빈),1.5,2016-07-12,2018-03-31,용량변경
737,이운옥,춘천에코에너지,강원  춘천시  남산면  수동리 648-2  일원,신재생/증기터빈(SRF  소각열),9.8,2016-07-13,2019-07-31,
738,한국동서발전,태백  가덕산풍력  발전사업,"강원  태백시  원동  산97,  산13-1일원",풍력,40,2016-07-13,2018-09-30,
739,조성훈,횡계신재생발전,"강원평창군대관령면횡계리산178,188-1,188-10,188-11,1-134",풍력,39,2016-07-20,2018-08-31,사업준비기간연장
740,조석,한국수력원자력,울산시  울주군  서생면  신암리 일원,원자력,2800,2016-08-30,2022-10-31,사업준비기간연장
741,이병수 ,현대에너지 ,전남  여수시  여수산단로  727 ,"열병합(유 연탄,목질계)",126.2 nan,2016-08-30 ,2018-12-31 ,용량변경 48.4->126.2MW)
742,이기완,디에스에너지,충남  청양군  화성면  금계동길 31,신재생(Bio-SRF),6.0,2016-08-30,2018-05-31,
743,김정영,와이에스에너지,경기  양주시  남면  현석로785번길  207,신재생(Bio-SRF),5.0,2016-08-30,2018-04-30,
744,모종면,대산파워,충남  서산시  대산읍  죽엽로 397일원(대죽리),신재생에너지【고형연료(SRF)】,24.9,2016-08-30,2018-11-30,
745,황정현,광양그린에너지,"전남  광양시  황금동  산  191, 황금일반산업단지  內",신재생(바이오매스  :우드펠릿 등  목질계),200.0,2016-08-30,2020-06-30,용량변경(100->200MW)
746,이병삼,청주  폐수지 유류화  엔진 발전사업,"충북  청주시  서원구  남이면 부용남이길182,  (구미리   39-2,  39-4)",유류(페기물  열분해/유류전환),9.0,2016-08-30,2017-12-31,
747,김영환,선창산업,인천시  중구  월미로  96  (북성동  1가),신재생(바이오매스:Wood Chip),3.6,2016-08-30,2017-02-28,
748,이한림,예원산업,전북  정읍시  2산단7길21-1(하북동),신재생(SRF),5.5,2016-08-30,2019-03-31,
749,오봉호 ,정욱엔지니어 링,충북  음성군  맹동면  봉현리 22-6외  2필지,신재생(성 형SRF  등),9.9 nan,2016-08-30 ,2018-07-31 ,양수인가(양도자:  정욱리 싸이클링)
750,이종식,명지에너지,부산시  강서구  명지동 607-641일원,신재생(바이오  고형연료/Wood Chip),9.9,2016-08-30,2019-04-30,양수인가(양도자:  코오롱글로벌)
751,김리하,청송에코윈드,"경북  청송군  안덕면  근곡리, 노래리,  부남면  감연리,  대전리,  현동면  도평리,  인지리,  파천면  신흥리,  부동면    지리  일원",풍력,97.2,2016-08-30,2020-05-31,
752,김국희,웅진풍력발전,강원  정선군  사북읍  사북리 산160-3번지  일원,풍력,60.0,2016-08-30,2018-06-30,
753,조우진,영월에코윈드,"강원  영월군  상동읍  구래리 산1-35번지,  산1-37번지  일원",풍력,79.2,2016-08-30,2019-12-31,
754,이영복,주원에너지,강원  삼척시  하장면  판문리 산42,풍력,3.3,2016-08-30,2018-12-31,
755,공진표,윈이엔에스,"경북  영덕군  영해면  대진리 산55,  산57,  산59,  산35",풍력,13.0,2016-08-30,2018-07-31,
756,김영건,에스알피,전남  여수시  화정면  백야리 산253번지  일원,풍력,19.8,2016-08-30,2019-03-31,용량변경(12-->19.8MW)
757,김근안,태백귀네미풍력발전,강원  태백시  하사미동  산220-3일원,풍력,20.0,2016-08-30,2017-06-30,양수인가(양도자:한국남부발전)
758,김문수,양양풍력발전,강원  양양군  현남면  하월천리 산1-1  일원,풍력,40.0,2016-08-30,2019-02-28,양수인가(양도자:한국동서발전)
759,에두아르도메디나산체스,영양제2풍력발전,경북  영양군  석보면  삼의리 산60번지  일원,풍력,34,2016-08-30,2016-12-31,주식취득(악시오나->GS이앤알)
760,김흥식,삼척풍력발전,강원  삼척시  근덕면  궁촌리 산310임  일원,풍력,138.6,2016-08-30,2018-12-31,
761,위대호,제주사랑에너지,제주시  구좌읍  덕천리  산82,태양광,20.0043,2016-08-29,2018-07-31,
762,위대호,제주사랑에너지,제주시  구좌읍  덕천리  산82,태양광,20.0043,2016-08-29,2018-07-31,
763,위대호,제주사랑에너지,제주시  구좌읍  덕천리  산82,태양광,20.0043,2016-08-29,2018-07-31,
764,"양홍석,우혁재",빛고을운정태양광발전소,광주시  북구  운정동  627번지외  5필지,태양광,4,2016-08-29,2017-08-31,
765,"양홍석,우혁재",빛고을운정태양광발전소,광주시  북구  운정동  627번지외  5필지,태양광,4,2016-08-29,2017-12-31,
766,주환오,부산그린에너지,부산시  해운대구  해운대로 896,신재생(연료전지),30.8,2016-08-30,2017-03-31,사업준비기간연장
767,송재호,케이디파워텍,울산시  울주군  온산읍  온산로68  S-OIL(주)  온산공장  부지 내,폐열발전,16.2,2016-08-30,2016-09-30,사업준비기간연장
768,손수길,대륜그린에너지,경기  양주시  옥정동  840-1,신재생(연료전지),10,2016-08-30,2017-12-31,사업준비기간연장
769,진경화,삼척에너지,강원  삼척시  동양길20  (사직동),스팀터빈,19.7,2016-08-30,2019-08-31,사업준비기간연장
770,송남용,유니큰,울산시  울주군  온산읍  원산로 59,신재생(SRF),8.0,2016-08-30,2019-09-30,사업준비기간연장
771,김상우,포승그린파워,경기  평택시  포승읍  내기리 680-17,바이오매스  열병합발전,43.2,2016-08-23,2018-12-31,사업준비기간연장
772,이기경,태환윈드파워평창,"강원  평창군  진부면  마평리 산200,  화의리  산100,  막동리 산1,  장전리  산1,  대화면  신리 산410,    대화리  산70,  하안미리  산153,  평창읍  지동리  산1, 고길리  산1,  미탄면  회동리  산50-1  번지",풍력,168.3,2016-09-06,2019-06-30,
773,이기경,태환윈드파워평창,"강원  평창군  봉평면  흥정리 산1,  덕거리  산1",풍력,69.3,2016-09-06,2019-01-31,
774,손영기,지에스이피에스,"강원  양양군  서면  영덕리  산81-1,  공수전리  산2-7,  서림리 산1-5,  북암리  산1",풍력,60.0,2016-09-06,2019-02-28,
775,류지윤,유니슨,"강원  고성군  간성읍  탑동리 산1,  장신리  산  1-2,  어천리 산1-1",풍력,20.7,2016-09-06,2020-06-30,
776,류지윤,유니슨,"강원  인제군  서화면  서흥리 산55,  북면  원통리  산226-1, 월학리  산1",풍력,32.2,2016-09-06,2020-05-31,
777,남병현 ,에코그린풍력 ,"강원  양양군  서면  수리  산1, 내현리  산112-1현북면  장리 산1-11,  면옥치리  산1-1",풍력 ,90.0 nan,2016-09-06 ,2020-01-31 ,
778,이병구,오성이앤티,"경북  영덕군  남정면  회리 104-1번지,  쟁암리    산37번지, 사암리  산62-2번지,  달산면  옥산리  산109번지",풍력,60.0,2016-09-09,2019-02-28,
779,이완,엔텍바이오파워,전북  남원시  광치동  산7번지,신재생에너지(바이오매스),9.95,2016-09-20,2018-12-31,사업준비기간연장
780,박현주,씨씨에스리소스,경기  포천시  신북면  청신로 1897(신평리  480-3번지),신재생(목질계  바이오매스),9.9,2016-09-20,2018-10-31,사업준비기간  연장
781,윤종근,한국남부발전,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,  왕산면  목계리  일원  일원",풍력,60.0,2016-09-28,2019-06-30,
782,김용진,한국동서발전,"강원  정선군  화암면  건천리, 호촌리,  백전리,  삼척시  하장면  토산리,  갈전리,  추동리,  둔전리,  역둔리,  공전리    일원",풍력,99.0,2016-09-21,2019-12-31,
783,이상호,한국남부발전,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,   왕산면  목계리  일원",풍력,60.0,2016-09-28,2019-06-30,
784,가보렐마르셀루시앙프랑소 와,베올리아코리아에너지 ,충북  충주시  목행동  315-2번지 ,신재생【Bio-SRF(우드칩)】 ,6.5 nan,2016-10-06 ,2018-12-31 ,
785,조재민,포천민자발전,경기  포천시  신북면  계류리 일원,LNG(GT/ST),960.4,2016-09-28,2017-02-28,사업준비기간연장
786,손기태,제주그린파워,제주시  월산남길  312(해안동),SRF(일반고형연료제품),6.0,2016-09-28,2018-12-31,사업준비기간연장
787,하승진,엔케이퓨얼,경북  김천시  대광동  797번지 일대,신재생(연료전지),17.5,2016-09-28,2018-03-31,사업준비기간연장
788,황정현,광양그린에너지,"전남  광양시  황금동  산  191, 황금일반산업단지  內",신재생(바이오매스  :우드펠릿 등  목질계),220.0,2016-09-28,2020-06-30,용량변경(200-->220)
789,김양곤,동해그린풍력,경북  포항시  남구  호미곶면 대보리  산129-1  일원,풍력,38.4,2016-10-04,2018-12-31,지번변경
790,유정준,에스케이이엔에스,서울시  강동구  아리수로87길 206  (고덕동),신재생(연료전지),20.0,2016-10-06,2017-08-31,
791,오창근,윈드시너지군산풍력,"전북  군산시  비응도동  21,  19, 22,  23,  24,    35번지",풍력,4.95,2016-09-26,2015-12-31,양수인가
792,강창원,울진  현종산풍력,"경북  울진군  기성면,  원남면 현종산  일원",풍력,53.4,2016-09-26,2017-07-31,양수인가  및  용량변경
793,설인기,정암풍력발전,강원  정선군  고한읍  고한리 산216-1  등지,풍력,32.2,2016-09-26,2018-12-31,"주식취득  및  용량변경,준비기간연장"
794,김용진 ,한국동서발전 ,"강원  삼척시  하장면  중봉리 산1,  갈전리  산1,  정선군  임계 면  용산리  산160-1,  도전리  산64,  문래리    산1,  낙천리  산50번지  일원",풍력 ,99.0 nan,2016-09-26 ,2020-02-29 ,
795,이인용,고성알프스풍력발전,강원  고성군  간성읍  흘리  일원,신재생(풍력),100.0,2016-10-11,2019-12-31,사업준비기간연장
796,이정원,제이더블유에스피에스,"경북  고령군  다산면  송곡리 1049-2,3번지",바이오메스  화력【목질계 (우드칩)】,9.9,2016-10-11,2017-12-31,사업준비기간  연장
797,임춘호,자은주민바람발전소,전남  신안군  자은면  백산리 일원,풍력,39.0,2016-10-11,2017-01-31,사업준비기간  연장
798,박주원,제이파워,"경남  산청군  신등면  모례리 산78-1,  산청읍  범학리  산31, 척지리  산134",풍력,36.8,2016-10-12,2019-02-28,사업준비기간연장
799,김성훈,남해파워,"경남남해군서면노구리산98,산99-2번지남상리산60-2,산60-3번지",풍력,45.0,2016-10-12,2018-12-31,사업준비기간연장
800,김동휘,에이더블유피,"경북  영양군  영양읍  무창리,무학리,기산리  및  수비면  송하리   등지",풍력,89.1,2016-11-22,2020-12-31,사업준비기간연장
801,김광언,서진풍력,전남  영광군  법성면  입암리 산34번지  일원,풍력,14.0,2016-11-22,2018-11-30,사업준비기간연장
802,류승보 ,에임슨파워 ,"경남  양산시  상북면  좌삼리 산54,산52,산52-1,  상삼리  산 15,산14,산14-1,산13,산13-1",풍력 ,18.0 nan,2016-11-22 ,2019-12-31 ,사업준비기간연장 
803,김화준,대화풍력,"강원  평창군  대화면  개수리 산340,  산337,  산618,  상암미리  산331,  방림면  방림리  산442,  계촌리    산1",풍력,99.0,2016-11-22,2019-12-31,발전소이름변경(대화풍력->대화풍력)
804,김기환,영양제2풍력발전,경북  영양군  석보면  삼의리 산60번지  일원,풍력,34.0,2016-11-22,2019-12-31,"사업준비기간연장,대표자변경"
805,조성철,내포그린에너지,"충남  홍성군  홍북면,예산군  삽교읍  일원",열병합발전,97.0,2016-11-02,2020-12-31,기기변경  등
806,정현종,대연이앤에스 대구시  서구  중리동  1123-1,,신재생【바이오매스(우드칩)】,8.8,2016-11-02,2018-12-31,
807,양원돈,유진초저온,경기  평택시  오성면  양교리 1091번지,신재생【연료전지/NG】,9.68,2016-11-02,2018-12-31,
808,백한신,전주에코에너지,전북  전주시  덕진구  유상로 54  일원,신재생【고형연료(SRF)】,9.9,2016-11-02,2018-07-31,
809,남덕진,한국에너지,"전남  광양만권  경제자유구역 율촌제1산압단지 2블록(2-2, 2-6)",신재생(폐기물  : 생활·산업 등),29.0,2016-11-02,2019-12-31,
810,김영건,에스디오,강원  고성군  토성면  도원리 산1  외  6필지,풍력,30.0,2016-11-01,2018-12-31,용량변경
811,황의정,진고개윈드캠퍼스,강원  평창군  대관령면  횡계리 산2-1,풍력,6.6,2016-11-01,2019-08-31,
812,김양수,영암삼호풍력발전,전남  영암군  미암면  호포리 1246번지  외  11필지,풍력,39.6,2016-11-01,2019-01-31,
813,하태국,우람발전,"경북  청송군  부남면  중기리 산86-1,  산127,  산135,  산137, 부남면  양숙리  산23",풍력,99.0,2016-11-01,2020-06-30,
814,손승우,봉이,강원  양양군  서면  미천리  산5번지  일원,풍력,39.0,2016-11-01,2018-08-31,
815,남기준,진성파워,강원  삼척시  도계읍  한내리 산55번지,풍력,60.0,2016-11-01,2018-12-31,
816,박정학,명성파워그린,"강원  정선군  남면  유평리  산208,  화암면  몰운리  산210",풍력,39.0,2016-11-01,2019-06-30,
817,김용진,한국동서발전,"강원  횡성군  갑천면  포동리 산  78-2,  산  82-1번지  일원",풍력,7.0,2016-11-02,2018-12-31,
818,하영복,자은태양광발전소,경기  가평군  조종면  마일리 산  237-1  일원,풍력,9.5,2016-11-02,2018-09-30,
819,서준열,더블류티이목포,전남  목포시  대양동  797번지(목포대양산단A14블록),"신재생(폐기물:생활,음식,산업 등)",29.9,2016-11-02,2018-12-31,"용량변경,사업준비기간연장  등"
820,윤화식,춘천에너지,강원  춘천시  동산면  봉명리 동춘천산업단지,열병합발전,422.4,2016-11-23,2017-07-31,사업준비기간연장
821,정태연,영동연료전지발전,강원  고성군  토성면  원암리 427-1,풍력,5,2016-11-22,2017-12-31,
822,정태연,영동연료전지발전,강원  정선군  임계면  가목리 산8-1,풍력,5,2016-11-22,2017-12-31,
823,오봉호,정욱리씨이클링,충북  음성군  맹동면  초금로 415-14외  2필지,신재생(성형SRF  등),9.9.,2016-11-02,2018-12-31,사업준비기간연장
824,남곤,성림엔지니어링,부산시강서구화전산단1로63번길10,열병합발전,9.1,2016-11-10,2017-05-31,사업준비기간연장
825,류두형,한화에너지,전북  군산시  외항로  1222,열병합발전(유연탄),221.9,2016-11-28,2017-09-30,
826,유정준,에스케이이엔에스,서울시  강동구  아리수로87길 206  (고덕동),신재생(연료전지),39.6,2016-11-28,2019-01-31,용량변경
827,박준영,에스엠지에너지,전북  군산시  비응도동36-23 군산2국가산업단지  내,신재생【우드펠릿 등 목질계 바이오매스】,200,2016-11-28,2020-06-30,
828,손영기,지에스이피에스,충남  당진시  송악읍  부곡공단로  241,신재생【바이오매스】,105,2016-11-28,2020-03-31,
829,이길구 ,포항신재생에너지 ,경북  포항시  북구  흥해읍  용한리(영일만3일반산업단지) ,"신재생【목질계 바이오매스(우드칩, 필렛 혼소)】",110 nan,2016-11-28 ,2020-12-31 ,nan
830,유상훈,광양파워,전남  광양시  광양읍  세풍리 2200,신재생(연료전지/LNG),110.0,2016-11-28,2020-06-30,
831,최재영,하장풍력발전,강원도  삼척시  하장면  한소리 산60,풍력,4.6,2016-11-28,2019-12-31,
832,박정학,명성파워그린,강원도  영월군  중동면  직동리 산1-1,풍력,39.0,2016-11-28,2020-06-30,
833,손영기,지에스이피에스,"전남  신안군  장산면  마진도리 102, 112, 산47, 팽진리 118-6, 193, 263, 434-1,   436-3,  산21-1",풍력,29.7,2016-11-28,2020-10-31,
834,황의정,포항에코랜드,경북  포항시  북구  신광면  기일리  산150-1외  9필지,풍력,96.6,2016-11-28,2019-08-31,
835,이재규,비학윈드캠퍼스,경북  포항시  북구  기북면  탑정리  산33  외  17필지,풍력,90.0,2016-11-28,2019-08-31,
836,기경희,더윈드파워,"경북  포항시  남구  대송면  산여리  산8,  산33-1",풍력,60.0,2016-11-28,2019-12-31,
837,박정학,명성파워그린,"강원도  정선군  북평면  장열리 산139,  산165-3,  남평리  산22, 문곡리  산1,  여량면  여량리  산85-5",풍력,39.0,2016-11-28,2020-06-30,
838,김기영,영동  상촌풍력  발전사업,"충북  영동군  상촌면  둔전리 산10번지,  물한리  산62-1",풍력,27.0,2016-11-28,2019-12-31,
839,이정수,코리아풍력,경북  포항시  남구  동해면  발산리  산92-1임,풍력,4.2,2016-11-28,2018-12-31,
840,최성용,부산정관에너지,부산시  기장군  정관면  일대(부산정관지구),열병합발전,50.15,2016-11-29,2017-07-31,사업준비기간  연장
841,양만진,우리에너지,전북  남원시  광치동  산51-1외 9필지  일원,태양광,7.3,2016-11-29,2017-12-31,사업준비기간  연장
842,김건호,수자원공사,경북  영주시  평은면,수력,5.0,2016-11-30,2018-12-31,사업준비기간  연장
843,박근식,전남풍력발전,"전남  보성군  미력면  덕림리 산13-3(임),  4-1(전)",풍력,11.5,2016-12-28,2018-12-31,사업준비기간  연장
844,김경구,영동항공영농,"경기  양주시  남면  상수리 247,  247-1,  247-2,    248, 248-3",바이오매스(목질계),9.99,2016-11-30,2019-12-31,사업준비기간  연장
845,장  옥,글로벌에너지,"경기  양주시  남면  상수리  산112-11,  산113",신재생(목질계바이오매스),9.9,2016-11-30,2018-12-31,사업준비기간  연장
846,장  옥,글로벌에너지,경기  양주시  남면  상수리  산112-11,신재생(목질계바이오매스),9.9,2016-11-30,2018-12-31,사업준비기간  연장
847,장  옥,글로벌에너지,"경기도  양주시  남면  구암리 7-1,  7-2,  9-9,  12,  13번지  일원",신재생(목질계바이오매스),9.9,2016-11-30,2018-12-31,"사업준비기간  연장,부지변경"
848,김흥식,청산풍력발전,"강원  평창군  봉평면  진조리 산80-1,횡성군  둔내면  삽교리 산1-3",풍력,29.9,2016-12-28,2018-12-31,사업준비기간  연장
849,박기원 ,한백풍력발전 ,"강원 태백시 통동 산69, 황지 동  산173-1",풍력 ,25.3 ,2016-12-28 ,2018-12-31 ,대표자변경및사업준비기 간연장
850,이도식,GS동해전력,"강원  동해시  구호동  230, 245-1,  246번지",석탄화력,"1,190",2016-11-30,2016-12-31,사업준비기간  연장
851,이도식,GS동해전력,"강원  동해시  구호동  230, 245-1,  246번지",해양수력,4.872,2016-11-30,2016-12-31,사업준비기간  연장
852,이도식,GS동해전력,"강원  동해시  구호동  230, 245-1,  246번지",태양광,3.3,2016-11-30,2017-12-31,사업준비기간  연장
853,한문선,여수바이오에너지,전남  여수시  중흥동  1724번지(여수국가산업단지內),신 재 생 에너 지 【 목질계  바이오매스】,43.9,2016-11-30,2018-12-31,용량변경
854,손호영,부산신항배후발전,부산시  강서구  국제물류도시 일반산업단지  1단계  제2공구 122-7Lot,신재생(연료전지),17.5,2016-11-30,2018-12-31,사업준비기간연장
855,황시형,논산바이오에너지,"충남  논산시  은진면  시묘리 777번지,연무읍  죽본리    815번지(동일일반산업단지內)",바이오매스  목질계,9.9,2016-11-30,2017-12-31,사업준비기간연장및원동력종류
856,강원도청,강원도청,강원  평창군  횡계리  산  1-174,풍력,3.3,2016-12-01,2017-09-30,사업준비기간연장
857,박선식,에스더블유에너지,"전남  여수시  화양면  안포리 산67,  산117,산56-17,  산56-1",풍력,9.2,2016-12-01,2019-09-30,
858,김영만,원주에너지,"강원  원주시  문막읍  원문로 2047(반계리    2262-5,6,7)일원",열병합발전,32.3,2016-12-21,2019-08-31,사업준비기간연장
859,이정원,제이더블유솔라파크,전남  해남군  황산면  한자리 855-1번지,태양광,21.78,2016-12-28,2016-12-31,부지  축소
860,이천시장,이천시,경기도  이천시  호법면  안평3리  산98번지,신 재 생 ( 생활 폐 기 물 소각열),4.3,2016-12-27,2017-02-28,
861,윤종근,한국남부발전 제주시  한림읍  동명리  620,,LNG복합,105.0,2016-12-27,2019-10-31,연료변경(등유-->LNG)
862,이상구,청수유니스에너지,충남  천안시  동남구  청수8로 56,신 재 생【 연 료 전지】,4.84,2016-12-27,2018-06-30,
863,이근숙,엠에코,전북  정읍시  영파동  500-13번지,신 재 생【 바 이 오매스】,20.0,2016-12-27,2019-12-31,
864,이병욱,한국지역난방기술,경기도  김포시  양촌읍  학운리 3379(학운2일반산업단지),신 재 생【 목 질 계 바 이 오 매스】,100.0,2016-12-27,2020-12-31,
865,이병준,엠에스정밀,경북  경주시  외동읍  모화리 1700-1번지,신 재 생 ( 바이오매스),29.9,2016-12-27,2019-06-30,
866,황인경,청주원에너지,충북  청주시  청원구  북이면 용계내추로  463-4,유 류 ( 폐 기물열분해/유류전환),7.0,2016-12-27,2019-12-31,
867,이동구,흥원에너지,충남  부여군  홍산면  정동리 산59-1외  2필지,신 재 생【 고 형 연료(SRF)】,9.9,2016-12-27,2019-06-30,
868,김성훈,남해파워,"경남남해군서면노구리산98,산99-2번지남상리산60-2,산60-3번지",풍력,36.0,2016-12-28,2018-12-31,"용량변경,전압변경"
869,김기영,윈드앤썬,"강원  강릉시  옥계면  금진리 산81번지,  강동면  산성우리  산56번지",풍력,19.2,2016-12-28,2020-12-31,
870,황영윤,정선풍력발전,"강원  정선군  신동읍  방제리 443-21,22,24,68,70,35,64  조동리  499-9",풍력,19.8,2016-12-28,2019-10-31,
871,황영윤,보령풍력발전,충남  보령시  신흑동  2122-2번지  일원,풍력,33.0,2016-12-28,2019-10-31,
872,김응식,GS파워,"경북  경주시  천북면  화산리 1180-16,  1180-21,  오야리  산10-3번지",풍력,7.05,2017-01-05,2017-07-31,대표자변경
873,강욱호,경주산 업단지풍력발전,"경북경주시강동면왕신리산47-1,산46-4,산46-2,산45-3,산42-2번지",풍력,7.05,2017-01-16,2017-12-31,대표자변경및사무실소재지변경
874,채태평,하늘과에너지,전북  전주시  덕진구  팔복동3가 478-1,고형연료(SRF),9.9,2017-01-23,2019-03-31,양수인가
875,윤창운 ,코오롱글로벌 ,리  773-20번지  일원,충북  진천군  광혜원면  광혜원 신 재 생 ( 바 9.9 이 오 매 스 :우드칩),nan nan,2017-01-23 ,2019-12-31 ,
876,백승정,대구청 정에너지,대구시  달성군  유가면  비슬로96길  67(금리40번지),신 재 생 ( 연료전지:NG),60.0,2017-01-23,2017-12-31,
877,이윤상,임폴루토,충남  청양군  정산면  서정리  산11-3,신 재 생 ( 목질계  바이오매스),9.9,2017-01-23,2019-12-31,
878,신상일,비에스에너지,강원  삼척시  원덕읍  기곡리  산170번지,풍력,50.4,2017-01-23,2020-12-31,
879,박기철,거제풍력,경남  거제시  일운면  소동리  일원,풍력,40.0,2017-01-24,2019-01-31,사업준비기간  연장
880,김영길,지웰,경북  영천시  고경면  상계로 178-18,신 재 생 ( 비성형  SRF),8.0,2017-01-26,2018-11-30,사업준비기간  연장
881,이남진,해다미,경기  화성시  송산면  마산리 416-15번지,신 재 생(Bio-SRF),9.9,2017-01-26,2019-01-31,사업준비기간  연장
882,최재영,하장3풍력발전,강원도  삼척시  하장면  판문리 산42,풍력,3.3,2017-02-27,2018-12-31,양수인가
883,이상호,후츠파개발,강원도  강릉시  왕산면  대기리 2214-195  외  3필지,풍력,20.0,2017-02-27,2019-11-30,
884,정태연,영동발전,경남  통영시  욕지면  동항리  산6-1번지  앞  공유수면,풍력,9.9,2017-02-27,2018-12-31,
885,신성룡,에코횡성태양광,"강원도  횡성군  갑천면  포동리 산  78-2,  산  82-1번지  일원",태양광,7.0,2017-02-27,2018-12-31,양수인가
886,김웅 ,신승에너지 ,경기도  화성시  남양읍  매바위 로  570-10,신승에너 지  소각장 폐열,4.79 nan,2017-02-27 ,2018-12-31 ,용량변경 
887,조석연,한빛파워,경기도  파주시  탄현면  금승리 229-7  외,신재생【고형연료(SRF)】,9.9,2017-02-27,2019-12-31,
888,한수원대표,한수원,경북  울진군  북면  덕천리  및 고목리  일원,원자력,2800.0,2017-02-27,2023-12-31,
889,정창길,한국중부발전,충남  보령시  주교면  송학리  일원,유연탄,2000.0,2017-03-20,2017-09-30,사업준비기간  연장
890,심재원,인코테크,강원도  강릉시  강동면  임곡리 21,바이오매스소각열,9.9,2017-03-20,2019-04-30,사업준비기간  연장
891,박용원,김천풍력발전,경북  김천시  어모면  옥계리  산227  등지,풍력,20.0,2017-03-20,2018-10-31,사업준비기간  연장
892,이관섭,한수원,울산시  울주군  서생면  신암리 일원,원자력(S/T),2800.0,2017-03-20,2018-09-30,사업준비기간  연장
893,정하황,한국서부발전,충남  태안군  원북면  발전로 447-40,초초임계압  관류형 석탄보일러(유연탄),2100.0,2017-03-20,2017-06-30,사업준비기간연장
894,손승우,이현에프씨피피,대구시  서구  이현동  산  117 번지  일원,연료전지(LNG),25.0,2017-03-27,2019-10-31,사업준비기간연장
895,송재호,케이디파워텍,울산시  울주군  온산읍  온산로68  S-OIL(주)  온산공장  부지 내,폐열발전,16.2,2017-03-27,2017-06-30,사업준비기간연장
896,최용선 ,글로벌윈드에 너지,강원도  양구군  해안면  오유리 산1임  일원,풍력 ,90.0 nan,2017-03-28 ,2019-12-31 ,
897,이천시장,경기도청,경기도  이천시  호법면  안평3리 산98번지,신재생(생활폐기물 소각열),8.2,2017-03-28,2017-06-30,
898,우종인,비에이치아이,경남  함안군  군북면  장지리 1407,신재생(목질계  바이오매스),20.0,2017-03-28,2019-07-31,
899,조오제,청송면봉산풍력,경북  청송군  현서면  무계리  산11번지  일원,풍력,86.4,2017-03-28,2019-12-31,용량변경
900,김종호,엠함안,경남  함안군  대산면  부목리 169  일원,"신재생(바이오매스 /  우드칩, SRF)",9.9,2017-03-28,2019-10-31,양수인가
901,김종호,엠다온,경기도  여주시  강천면  강천로 121  일원,SRF(고형연료),9.9,2017-03-28,2018-10-31,
902,오동석,와이지이,"경북  영양군  영양읍  무창리  산62-36,  3-2,  110,  108",풍력,26.4,2017-03-28,2018-12-31,주식취득
903,최재영,하장3풍력발전,강원도  삼척시  하장면  판문리 산42,풍력,4.6,2017-03-28,2018-12-31,용량변경
904,남곤,성림엔 지니어링,부산시  강서구  화전산단1로 63번길  10,열병합발전,9.1,2017-04-25,2017-09-30,사업준비기간연장
905,이희승,화정풍력,전남  여수시  화정면  조발리  산38-3번지  일원,풍력,12.0,2017-04-25,2019-4-30,"상호변경,본점소재지변경"
906,이경남,한마음에너지,강원도  삼척시  하장면  번천리 산57-2,풍력,26.4,2017-05-01,2021-04-30,
907,문성환,삼양사  울산1공장,울산시  남구  장생포로  285(매암동),신재생에너지(SRF) 발전,3.7,2017-05-01,승계신고  완료시까지,집단에너지에서  발전사업으로  전환
908,박식,피앤디솔라,전북  군산시  비응도동  유19번지,태양광,17.0,2017-05-01,2020-02-29,
909,정승,한국농 어촌공사 ( 화 안 사 업단),경기  화성시  서신면  궁평리 699,태양광,5.016,2017-05-01,2019-12-31,
910,기찬수,청송노 래산풍력발전,경북  청송군  안덕면  노래리  산68-1번지  일원,풍력,20.0,2017-05-01,2018-01-31,양수인가
911,최용선,삼척  오두2풍력  발전사업,"강원도  삼척시  하장면  추동리, 둔전리,  용연리  일대",풍력,57.6,2017-05-01,2019-12-31,
912,윤종근,한국남부발전,강원도  삼척시  가곡면  풍곡리 산128-63,풍력,50.4,2017-05-01,2020-12-31,
913,김용진,한국동서발전,"경북  영덕군  영덕읍  삼계리  산23-2,  산38,  산25,    산40-1,  강구면  하저리  산101,  산102,  산103,  영덕읍  창포리  산114-1, 117-2  일원",풍력,39.6,2017-05-01,2020-12-31,
914,김리하,영월에 코에너지,"강원도  영월군  상동읍  내덕리 산112-1,  덕구리    산10-1번지 일원",풍력,64.8,2017-05-01,2020-05-31,
915,류지윤,유니슨,"경북  봉화군  석포면  석포리  산1-2,  승부리  산1-1,    울진군  금강송면  전곡리  산1",풍력,60.0,2017-05-01,2021-04-30,
916,정주호,평창운 두령풍력,강원도  평창군  용평면  노동리 산1-2,풍력,27.6,2017-05-01,2018-01-31,양수인가
917,변상현,고한풍력,강원도  정선군  고한읍  고한리 산  1-17  번지  일원,풍력,39.0,2017-05-01,2018-05-31,양수인가
918,린지앤(중화인민공화국),씨지앤 대산전력,충남  서산시  대산읍  독곶2로 50  일원,신재생(목질계  바이오매스),100.0,2017-05-01,2021-12-31,
919,박성만,경북그 린에너지센터,경북  안동시  풍천면  도양리 1424번지,"신재생(SRF  :  생활폐기물, 음식물류폐기물)",15.4,2017-05-01,2019-08-31,
